Id,device,deviceName,devType,prodId,capabilityId,capabilityDescription,commandId,valueType,enum_values,value,min,max,serviceId,serviceDescription,influencedChannels,influenceType
1,light,OPPLELamp,"""046""","""101C""",switchOnOff,switchOnOff,on,enum,"[{""enumName"": ""on"", ""value"": ""1""}, {""enumName"": ""off"", ""value"": ""0""}]",1,,,light-OPPLELamp_switchOnOff_on_1,turn on the light,,
2,light,OPPLELamp,"""046""","""101C""",switchOnOff,switchOnOff,on,enum,"[{""enumName"": ""on"", ""value"": ""1""}, {""enumName"": ""off"", ""value"": ""0""}]",0,,,light-OPPLELamp_switchOnOff_on_0,turn off the light,,
3,light,OPPLELamp,"""046""","""101C""",lightMode,different light modes,setLightMode,enum,"[{""enumName"":""reading"",""value"":""2""},{""enumName"":""writing"",""value"":""3""},{""enumName"":""computer"",""value"":""4""}]",2,,,light-OPPLELamp_lightMode_setLightMode_2,turn light into reading mode,luminance,hasIncreased
4,light,OPPLELamp,"""046""","""101C""",lightMode,different light modes,setLightMode,enum,"[{""enumName"":""reading"",""value"":""2""},{""enumName"":""writing"",""value"":""3""},{""enumName"":""computer"",""value"":""4""}]",3,,,light-OPPLELamp_lightMode_setLightMode_3,turn light into writing mode,luminance,hasIncreased
5,light,OPPLELamp,"""046""","""101C""",lightMode,different light modes,setLightMode,enum,"[{""enumName"":""reading"",""value"":""2""},{""enumName"":""writing"",""value"":""3""},{""enumName"":""computer"",""value"":""4""}]",4,,,light-OPPLELamp_lightMode_setLightMode_4,turn light into computer mode,luminance,hasIncreased
6,light,yeelightLEDColor,"""01B""","""100z""",switchOnOff,switchOnOff,on,enum,"[{""enumName"": ""on"", ""value"": ""1""}, {""enumName"": ""off"", ""value"": ""0""}]",1,,,light-yeelightLEDColor_switchOnOff_on_1,turn on the light,,
7,light,yeelightLEDColor,"""01B""","""100z""",switchOnOff,switchOnOff,on,enum,"[{""enumName"": ""on"", ""value"": ""1""}, {""enumName"": ""off"", ""value"": ""0""}]",0,,,light-yeelightLEDColor_switchOnOff_on_0,turn off the light,,
8,light,yeelightLEDColor,"""01B""","""100z""",brightnessControl,light brightness,setBrightness,range,,,0,255,light-yeelightLEDColor_brightnessControl_setBrightness_,set target brightness,,
9,light,yeelightLEDColor,"""01B""","""100z""",color,light color,setColor,enum,"[{""enumName"": ""red"", ""value"": ""1""}, {""enumName"": ""green"", ""value"": ""2""}, {""enumName"": ""blue"", ""value"": ""3""}]",1,,,light-yeelightLEDColor_color_setColor_1,set light color to red,luminance,hasIncreased
10,light,yeelightLEDColor,"""01B""","""100z""",color,light color,setColor,enum,"[{""enumName"": ""red"", ""value"": ""1""}, {""enumName"": ""green"", ""value"": ""2""}, {""enumName"": ""blue"", ""value"": ""3""}]",2,,,light-yeelightLEDColor_color_setColor_2,set light color to green,luminance,hasIncreased
11,light,yeelightLEDColor,"""01B""","""100z""",color,light color,setColor,enum,"[{""enumName"": ""red"", ""value"": ""1""}, {""enumName"": ""green"", ""value"": ""2""}, {""enumName"": ""blue"", ""value"": ""3""}]",3,,,light-yeelightLEDColor_color_setColor_3,set light color to blue,luminance,hasIncreased
12,light,yeelightLEDColor,"""01B""","""100z""",colorRangeControl,color degree,setColorRange,range,,,0,255,light-yeelightLEDColor_colorRangeControl_setColorRange_range,set degree of the color,,
13,light,yeelightLEDColor,"""01B""","""100z""",colorTempControl,color temperature,setColorTemp,range,,,2000,6500,light-yeelightLEDColor_colorTempControl_setColorTemp_range,set color temperature of the light,,
14,light,yeelightLEDColor,"""01B""","""100z""",lightMode,different light modes,setLightMode,enum,"{""mode"":{""enumList"":[{""label"":""custom"",""value"":""0""},{""label"":""guest"",""value"":""1""},{""label"":""entertainment"",""value"":""2""},{""label"":""movie"",""value"":""3""},{""label"":""eating"",""value"":""4""},{""label"":""colorful"",""value"":""5""},{""label"":""romantic"",""value"":""6""},{""label"":""working"",""value"":""7""},{""label"":""sleeping"",""value"":""8""}],""format"":""enum""}}",0,,,light-yeelightLEDColor_lightMode_setLightMode_0,turn light into custom mode,luminance,hasIncreased
15,light,yeelightLEDColor,"""01B""","""100z""",lightMode,different light modes,setLightMode,enum,"{""mode"":{""enumList"":[{""label"":""custom"",""value"":""0""},{""label"":""guest"",""value"":""1""},{""label"":""entertainment"",""value"":""2""},{""label"":""movie"",""value"":""3""},{""label"":""eating"",""value"":""4""},{""label"":""colorful"",""value"":""5""},{""label"":""romantic"",""value"":""6""},{""label"":""working"",""value"":""7""},{""label"":""sleeping"",""value"":""8""}],""format"":""enum""}}",1,,,light-yeelightLEDColor_lightMode_setLightMode_1,turn light into guest mode,luminance,hasIncreased
16,light,yeelightLEDColor,"""01B""","""100z""",lightMode,different light modes,setLightMode,enum,"{""mode"":{""enumList"":[{""label"":""custom"",""value"":""0""},{""label"":""guest"",""value"":""1""},{""label"":""entertainment"",""value"":""2""},{""label"":""movie"",""value"":""3""},{""label"":""eating"",""value"":""4""},{""label"":""colorful"",""value"":""5""},{""label"":""romantic"",""value"":""6""},{""label"":""working"",""value"":""7""},{""label"":""sleeping"",""value"":""8""}],""format"":""enum""}}",2,,,light-yeelightLEDColor_lightMode_setLightMode_2,turn light into entertainment mode,luminance,hasIncreased
17,light,yeelightLEDColor,"""01B""","""100z""",lightMode,different light modes,setLightMode,enum,"{""mode"":{""enumList"":[{""label"":""custom"",""value"":""0""},{""label"":""guest"",""value"":""1""},{""label"":""entertainment"",""value"":""2""},{""label"":""movie"",""value"":""3""},{""label"":""eating"",""value"":""4""},{""label"":""colorful"",""value"":""5""},{""label"":""romantic"",""value"":""6""},{""label"":""working"",""value"":""7""},{""label"":""sleeping"",""value"":""8""}],""format"":""enum""}}",3,,,light-yeelightLEDColor_lightMode_setLightMode_3,turn light into movie mode,luminance,hasIncreased
18,light,yeelightLEDColor,"""01B""","""100z""",lightMode,different light modes,setLightMode,enum,"{""mode"":{""enumList"":[{""label"":""custom"",""value"":""0""},{""label"":""guest"",""value"":""1""},{""label"":""entertainment"",""value"":""2""},{""label"":""movie"",""value"":""3""},{""label"":""eating"",""value"":""4""},{""label"":""colorful"",""value"":""5""},{""label"":""romantic"",""value"":""6""},{""label"":""working"",""value"":""7""},{""label"":""sleeping"",""value"":""8""}],""format"":""enum""}}",4,,,light-yeelightLEDColor_lightMode_setLightMode_4,turn light into eating mode,luminance,hasIncreased
