Id,sourceServiceId,targetServiceId,relation
1,light-OPPLELamp_lightMode_setLightMode_2,light-OPPLELamp_switchOnOff_on_1,implied
2,light-OPPLELamp_lightMode_setLightMode_3,light-OPPLELamp_switchOnOff_on_1,implied
3,light-OPPLELamp_lightMode_setLightMode_4,light-OPPLELamp_switchOnOff_on_1,implied
4,light-yeelightLEDColor_brightnessControl_setBrightness_,light-yeelightLEDColor_switchOnOff_on_1,implied
5,light-yeelightLEDColor_color_setColor_1,light-yeelightLEDColor_switchOnOff_on_1,implied
6,light-yeelightLEDColor_color_setColor_2,light-yeelightLEDColor_switchOnOff_on_1,implied
7,light-yeelightLEDColor_color_setColor_3,light-yeelightLEDColor_switchOnOff_on_1,implied
8,light-yeelightLEDColor_colorRangeControl_setColorRange_range,light-yeelightLEDColor_switchOnOff_on_1,implied
9,light-yeelightLEDColor_colorTempControl_setColorTemp_range,light-yeelightLEDColor_switchOnOff_on_1,implied
10,light-yeelightLEDColor_lightMode_setLightMode_0,light-yeelightLEDColor_switchOnOff_on_1,implied
11,light-yeelightLEDColor_lightMode_setLightMode_1,light-yeelightLEDColor_switchOnOff_on_1,implied
12,light-yeelightLEDColor_lightMode_setLightMode_2,light-yeelightLEDColor_switchOnOff_on_1,implied
13,light-yeelightLEDColor_lightMode_setLightMode_3,light-yeelightLEDColor_switchOnOff_on_1,implied
14,light-yeelightLEDColor_lightMode_setLightMode_4,light-yeelightLEDColor_switchOnOff_on_1,implied
15,light-yeelightLEDColor_lightMode_setLightMode_5,light-yeelightLEDColor_switchOnOff_on_1,implied
16,light-yeelightLEDColor_lightMode_setLightMode_6,light-yeelightLEDColor_switchOnOff_on_1,implied
17,light-yeelightLEDColor_lightMode_setLightMode_7,light-yeelightLEDColor_switchOnOff_on_1,implied
18,light-yeelightLEDColor_lightMode_setLightMode_8,light-yeelightLEDColor_switchOnOff_on_1,implied
19,AC-MideaAirConditioner_mode_setMode_1,AC-MideaAirConditioner_switchOnOff_on_1,implied
20,AC-MideaAirConditioner_mode_setMode_2,AC-MideaAirConditioner_switchOnOff_on_1,implied
21,AC-MideaAirConditioner_mode_setMode_3,AC-MideaAirConditioner_switchOnOff_on_1,implied
22,AC-MideaAirConditioner_mode_setMode_4,AC-MideaAirConditioner_switchOnOff_on_1,implied
23,AC-MideaAirConditioner_mode_setMode_5,AC-MideaAirConditioner_switchOnOff_on_1,implied
24,AC-MideaAirConditioner_tempControl_setTemp_range,AC-MideaAirConditioner_switchOnOff_on_1,implied
25,AC-MideaAirConditioner_windSpeed_setWindSpeed_1,AC-MideaAirConditioner_switchOnOff_on_1,implied
26,AC-MideaAirConditioner_windSpeed_setWindSpeed_2,AC-MideaAirConditioner_switchOnOff_on_1,implied
27,AC-MideaAirConditioner_windSpeed_setWindSpeed_3,AC-MideaAirConditioner_switchOnOff_on_1,implied
28,AC-MideaAirConditioner_windSpeed_setWindSpeed_4,AC-MideaAirConditioner_switchOnOff_on_1,implied
29,AC-MideaAirConditioner_windSpeed_setWindSpeed_5,AC-MideaAirConditioner_switchOnOff_on_1,implied
